delta,rate_physical,ci_low_physical,ci_high_physical,detected_physical,rate_cyber,ci_low_cyber,ci_high_cyber,detected_cyber
0.0,1.0,1.0,1.0,100,1.0,1.0,1.0,100
0.10204081632653061,1.0,1.0,1.0,100,1.0,1.0,1.0,100
0.20408163265306123,1.0,1.0,1.0,100,1.0,1.0,1.0,100
0.30612244897959184,1.0,1.0,1.0,100,1.0,1.0,1.0,100
0.40816326530612246,1.0,1.0,1.0,100,1.0,1.0,1.0,100
0.5102040816326531,1.0,1.0,1.0,100,1.0,1.0,1.0,100
0.6122448979591837,1.0,1.0,1.0,100,1.0,1.0,1.0,100
0.7142857142857143,1.0,1.0,1.0,100,0.92,0.86,0.97,92
0.8163265306122449,1.0,1.0,1.0,100,0.81,0.73,0.88,81
0.9183673469387755,1.0,1.0,1.0,100,0.72,0.63,0.8,72
1.0204081632653061,1.0,1.0,1.0,100,0.66,0.56,0.75,66
1.1224489795918369,1.0,1.0,1.0,100,0.65,0.56,0.74,65
1.2244897959183674,1.0,1.0,1.0,100,0.53,0.43,0.63,53
1.3265306122448979,1.0,1.0,1.0,100,0.44,0.34,0.54,44
1.4285714285714286,1.0,1.0,1.0,100,0.38,0.29,0.47,38
1.5306122448979593,1.0,1.0,1.0,100,0.38,0.28,0.48,38
1.6326530612244898,1.0,1.0,1.0,100,0.41,0.32,0.51,41
1.7346938775510203,1.0,1.0,1.0,100,0.38,0.29,0.47,38
1.836734693877551,1.0,1.0,1.0,100,0.32,0.23,0.4102499999999986,32
1.9387755102040818,1.0,1.0,1.0,100,0.23,0.15,0.32,23
2.0408163265306123,1.0,1.0,1.0,100,0.18,0.1,0.25,18
2.142857142857143,1.0,1.0,1.0,100,0.16,0.09,0.23,16
2.2448979591836737,1.0,1.0,1.0,100,0.12,0.06,0.19,12
2.3469387755102042,1.0,1.0,1.0,100,0.12,0.06,0.19,12
2.4489795918367347,0.95,0.91,0.99,95,0.09,0.04,0.15,9
2.5510204081632653,0.91,0.85,0.96,91,0.13,0.07,0.2,13
2.6530612244897958,0.92,0.86,0.97,92,0.11,0.05,0.17,11
2.7551020408163267,0.79,0.71,0.87,79,0.13,0.07,0.19,13
2.857142857142857,0.73,0.64,0.81,73,0.12,0.06,0.19,12
2.9591836734693877,0.69,0.6,0.78,69,0.12,0.06,0.19,12
3.0612244897959187,0.67,0.58,0.76,67,0.11,0.05,0.17,11
3.163265306122449,0.69,0.60975,0.78,69,0.1,0.04,0.16024999999999864,10
3.2653061224489797,0.66,0.57,0.75,66,0.11,0.05,0.17024999999999865,11
3.36734693877551,0.68,0.59,0.77,68,0.1,0.05,0.16,10
3.4693877551020407,0.59,0.49,0.68,59,0.08,0.03,0.14,8
3.5714285714285716,0.56,0.46,0.66,56,0.07,0.03,0.12,7
3.673469387755102,0.6,0.51,0.7,60,0.06,0.02,0.11,6
3.7755102040816326,0.56,0.47,0.66,56,0.09,0.04,0.15,9
3.8775510204081636,0.5,0.39975000000000005,0.6,50,0.07,0.02,0.12,7
3.979591836734694,0.52,0.42,0.62,52,0.09,0.04,0.15,9
4.081632653061225,0.54,0.44,0.64,54,0.08,0.03,0.14,8
4.183673469387755,0.53,0.43975000000000003,0.63,53,0.08,0.03,0.13,8
4.285714285714286,0.57,0.47,0.67,57,0.06,0.02,0.11,6
4.387755102040816,0.49,0.39,0.59,49,0.08,0.03,0.14,8
4.4897959183673475,0.48,0.38,0.58,48,0.06,0.02,0.11,6
4.591836734693878,0.46,0.36,0.56,46,0.07,0.029750000000000013,0.12,7
4.6938775510204085,0.48,0.38,0.58,48,0.07,0.03,0.13,7
4.795918367346939,0.47,0.37,0.57,47,0.08,0.03,0.14,8
4.8979591836734695,0.45,0.35,0.55,45,0.06,0.02,0.11,6
5.0,0.41,0.31975000000000003,0.51,41,0.06,0.02,0.11,6
